gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,liver_448_adjacent_non-tumor_tissue,liver_448_tumor,liver_473_adjacent_non-tumor_tissue,liver_473_tumor,liver_510_adjacent_non-tumor_tissue,liver_510_tumor
LINC01093,484.049126570485,-7.83183036348067,0.710867259439909,-11.0172894580225,3.15414217075386e-28,2.62682694784328e-25,406.461569184829,5.1475058533049,960.753356631321,1.77703775200217,1524.60310065463,5.55218934681985
PTH1R,244.751148767828,-6.9205901043567,0.629022552462551,-11.0021335121664,3.73196133825153e-28,2.97291285388889e-25,326.741206167915,2.20607393713067,482.444296730218,2.66555662800326,647.509522460173,6.94023668352481
ID1,1452.55685231732,-5.34471226098876,0.489326658951163,-10.9225854819453,8.98996088638975e-28,6.86308597335137e-25,2684.66743624566,99.2733271708803,3516.32971702511,34.6522361640424,2305.46384111616,74.9545561820679
MT1X,5314.84914967985,-5.65590789862767,0.519283953803711,-10.8917440202006,1.26200066374195e-27,9.24895046443198e-25,5886.95582109409,246.344922979592,8202.93145669008,221.24120012427,17178.9362901535,152.685207037546
SMIM24,641.481392044499,-8.55002673076426,0.789239730460147,-10.833244197906,2.39516021272991e-27,1.68785097760144e-24,2109.78256491242,3.67678989521779,938.698760209368,0,790.484024234818,6.24621301517233
MELK,346.761323132807,5.20541390697836,0.484001463423931,10.7549548923967,5.61614906430555e-27,3.81107715393356e-24,28.0705503580683,761.830866289126,15.1625350400926,557.989854128682,10.9980385980496,706.516094382825
CD5L,1999.34209052463,-7.93132613123808,0.738078647330421,-10.7459092061871,6.19485247398342e-27,4.0536459652973e-24,2821.65172199303,34.5618250150472,3130.37427964093,4.44259438000543,5995.30579076181,9.71633135693473
LRAT,345.982742069134,-6.86141385996104,0.640108491295144,-10.7191420724293,8.27674798538419e-27,5.22919229614514e-24,966.749754331873,5.1475058533049,614.771875261936,1.77703775200217,477.039924190403,10.4103550252872
GPR158,167.261299368255,5.17098125902008,0.484756492187466,10.6671727812989,1.44970400495659e-26,8.85382559293823e-24,6.7369320859364,334.587880464819,12.4057104873485,321.643833112393,8.24852894853723,319.944911110494
CCBE1,133.697810993179,-6.58231724866196,0.618958527257554,-10.6345045084466,2.05920352971936e-26,1.21705571198445e-23,305.407587895783,3.67678989521779,266.033569339806,0.888518876001086,222.710281610505,3.4701183417624
TTC36,516.436526304341,-8.73943294655299,0.822223266016519,-10.6290265768001,2.1837986517443e-26,1.25036121553934e-23,606.323887734276,0,1226.78692597113,6.2196321320076,1257.90066465193,1.38804733670496
MT1M,980.123286836966,-7.63890993016581,0.719578898482977,-10.615805919643,2.51613663178893e-26,1.39698955659506e-23,710.74633506629,11.0303696856534,1240.57104873485,7.10815100800869,3900.17943783335,11.1043786936397
